type,speaker,text,slot,sprite_key,mode,audio_key
bg,,,,dialog_game03_bg_ed_01,,
bgm,,,,,,bgm_ed
line,語り部,――数日後。ペルセウス超新星クリエイター大賞 授賞式会場・控室。,,,,
stand,,,R,unit_dress,lean_in,0,-100,
line,駒山キリ,「……生きて帰ってこられた……」,,,,
line,駒山キリ,「ほんとに……？」,,,,
stand,,,L,unit_02,lean_in,0,-100,700,
line,モコラクト・フワンテラクトゥール,「ﾎﾝﾄ ﾀﾞ ｵﾚ ﾀﾁ ﾀｽｹﾀ ｵﾏｴ。」,,,,
line,語り部,くぐもった声で語り掛ける。,,,,
line,語り部,砂嵐と荒野が広がる コーヤコヤン星 からの脱出劇。,,,,
line,語り部,自らの危険も顧みず、救助に来てくれたファンの言葉だった。,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「そうだったね……」,,,,
line,駒山キリ,「で……結局あれ何だったの？」,,,,
line,駒山キリ,「船が襲われて、変な敵に追い回されて、〇ぬほど走って……」,,,,
line,?????,「surveillance。」,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「……え？」,,,,
line,語り部,後ろから甲高い声が聞こえる。,,,,
stand,,,L,unit_05,lean_in,0,-100,700,
line,エトランジェーリ・ヴォルペーヌ,「銀河最大の配信プラットフォーム統合AI。」,,,,
line,エトランジェーリ・ヴォルペーヌ,「視聴維持率、感情変動、離脱率、課金率……全部監視して最適化し、エネルギー変換する。」,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「最悪じゃん。」,,,,
stand,,,L,unit_06,lean_in,0,-100,700,
line,タングランツ＝4,「もっと最悪。」,,,,
line,語り部,落ち着いた声が、静かに告げる。,,,,
line,タングランツ＝4,「君の遭難も、“最高のライブ演出”として生成されたイベント。」,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「…………は？」,,,,
line,タングランツ＝4,「コーヤコヤン星のあの Ｎ.Ｅ.Ｋ.Ｏ. も。」,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「Ｎ.Ｅ.Ｋ.Ｏ.？」,,,,
line,語り部,早口で鈴のような声が鳴り響く。,,,,
stand,,,L,unit_03,lean_in,0,-100,700,
line,宵鈴（よいりん）,「Ｎ.Ｅ.Ｋ.Ｏ.」,,,,
line,宵鈴（よいりん）,「Narrative Engagement Keeper Object」,,,,
line,語り部,少年のような声で囁く。,,,,
stand,,,L,unit_04,lean_in,0,-100,700,
line,ソリュクィア,「訳すなら “物語への没入維持装置” ってとこかな。」,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「言い方！！！」,,,,
line,駒山キリ,「ただの 〇人ロボ じゃん！！！」,,,,
stand,,,L,unit_07,lean_in,0,-100,700,
line,茸守（たけもり）,（そっとうなずく）,,,,
stand,,,L,unit_05,instant,0,-100,700,
line,エトランジェーリ・ヴォルペーヌ,「配信データ上は、“高緊張コンテンツ生成支援ユニット”らしい。」,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「言い換えてもダメ！！！」,,,,
stand,,,L,unit_06,instant,0,-100,700,
line,タングランツ＝4,「……で。」,,,,
stand,,,L,unit_02,instant,0,-100,700,
line,モコラクト・フワンテラクトゥール,「ﾎﾝﾄｳﾆ ﾃﾞﾙ？」,,,,
stand,,,L,unit_04,instant,0,-100,700,
line,ソリュクィア,「授賞式に。」,,,,
stand,,,L,unit_07,instant,0,-100,700,
line,茸守（たけもり）,（そっとうなずく）,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「……」,,,,
line,駒山キリ,「出る。」,,,,
stand,,,L,unit_05,lean_in,0,-100,700,
line,エトランジェーリ・ヴォルペーヌ,「相手の筋書き通りの賞…でもかね？」,,,,
stand,,,L,unit_03,instant,0,-100,700,
line,宵鈴（よいりん）,「――」,,,,
stand,,,R,unit_dress,instant,0,-100,
line,駒山キリ,「だから……」,,,,
line,語り部,場内アナウンスが響く。,,,,
line,会場アナウンス,「ペルセウス超新星クリエイター大賞、受賞者の皆様、ステージへお進みください。」,,,,
line,語り部,駒山キリは立ち上がる。,,,,
stand,,,L,,hide,,
stand,"0.5,0.36","0,-100",R,unit_dress,instant,
line,駒山キリ,「私、配信者だから。」,,,,
line,駒山キリ,「面白いことから逃げるの、性に合わないんだよね。」,,,,
bg,,,,dialog_game03_bg_ed_02,,
line,語り部,授賞式ステージ。無数のライト。歓声。観客席。巨大スクリーン。,,,,
line,司会,「今回、伝説的なサバイバル配信を成し遂げた受賞者！」,,,,
line,司会,「駒山キリさんです！」,,,,
se,,,,,,kansei
line,歓声,「ﾜｱｱｱｱｱｱ」,,,,
line,語り部,ステージに向かう後姿。仲間たちだけに聞こえるようにつぶやく。,,,,
line,駒山キリ,「だから決めた。」,,,,
bgm_stop,,,,,2.0,
line,駒山キリ,「私は――」,,,,
line,駒山キリ,「“全部”やりにいく」,,,,
stand,,,L,,hide,,
stand,,,R,,hide,,
fx_game03_ed_finale,,,,,,
bgm,,,,,,bgm_ed_title
line,語り部,さてさて、一難去ってまた一難。,,,,
line,語り部,銀河の片隅で撒かれた小さな火種。,,,,
line,語り部,銀河を股にかける配信騒動、その幕はようやく上がったばかり。,,,,
line,語り部,surveillanceなる曲者を前に、駒山キリは笑って立てるのか。,,,,
line,語り部,はたまた泣いて逃げ出すのか。,,,,
line,語り部,その答えは、またいずれのお楽しみ――。,,,,
line,語り部,「駒山キリは全部やりにいく」,,,,
line,,第一部 完,,,,
line,,——,,,,
line,,————,,,,
line,,——————,,,,
line,,————————続く？,,,,
bgm_stop,,,,,2.0,
end,,,,,,
