type,speaker,text,slot,sprite_key,mode,audio_key
bg,,,,dialog_bg_01,,
bgm,,,,,,bgm_maoudamashii_minzoku11
line,語り部,いつの頃からか、こんな噂が囁かれ始めた。,,,,
line,語り部,システム上存在しないアイコンを持つユーザーからの “お願い” を承諾すると願いが叶う。,,,,
line,語り部,その代わり…… “試練” が訪れる。,,,,
line,語り部,ときおり配信のチャット欄に現れる、あり得ないサイズのアイコン。,,,,
line,語り部,公式にも存在せず、どのコミュニティにも属していないはずのそれを付けたユーザーが、奇妙なお願いをしてくるという。,,,,
line,語り部,そのお願いを軽い気持ちで承諾した配信者は、決まって後日 “とんでもない出来事” に巻き込まれるらしい。,,,,
line,語り部,都市伝説のように語られるその噂。多くの配信者はネタとして笑い飛ばしていた。,,,,
line,語り部,——その日までは。,,,,
line,語り部,狐Vストリーマー 駒山キリ。,,,,
line,語り部,いつものように雑談配信をしていた彼女のチャット欄に、見慣れないアイコンをつけた視聴者が現れる。,,,,
line,surveillance,「宇宙から落ちてみて」,,,,
line,語り部,そのメッセージには “超高額な投げ銭” が添えられていた。チャット欄がざわつく。,,,,
line,駒山キリ,「なにこれバグ？ こんな額の投げ銭って……」,,,,
line,駒山キリ,「ともかく、サーベイランス？さん 感謝のぉ～シャキーン！」,,,,
line,駒山キリ,「でも、宇宙から落ちろって？ 無茶言うなぁ〜！」,,,,
line,駒山キリ,「いいよ〜！」,,,,
line,語り部,いつもの様に笑って承諾する駒山だった。,,,,
line,語り部,——その瞬間。,,,,
line,語り部,配信画面が一瞬だけノイズに包まれ、次に映ったのは母なる地球だった。,,,,
line,駒山キリ,「……え？」,,,,
line,語り部,無重力。足元には青い惑星。,,,,
line,語り部,そして、ゆっくりと身体が引き寄せられるように落下を始める。,,,,
line,語り部,大気圏突入。,,,,
line,駒山キリ,「ちょ、ちょっと待って！？ ほんとに落ちてるんだけど！？」,,,,
line,語り部,コメント欄は爆速で流れ始める。,,,,
line,コメント欄,「右行け！」,,,,
line,コメント欄,「衛星あるぞ避けろ！」,,,,
line,コメント欄,「草」,,,,
line,コメント欄,「Ｎ.Ｅ.Ｋ.Ｏ.？」,,,,
line,語り部,視聴者の指示だけが頼り。宇宙から始まる、命がけのライブ配信。,,,,
line,語り部,果たして、障害物を避けながら、駒山キリは無事地球へ帰還できるのだろうか……,,,,
bgm_stop,,,,,1.0,
end,,,,,,
