recipe_id,facility_id,output_item_id,output_amount,inputs,processing_seconds,uses_fuel,required_unlock_id,tier
recipe.scale_plate,facility.prep_bench,item.scale_plate,1,item.iron_scale:3,2,1,,1
recipe.flux_wire,facility.prep_bench,item.flux_wire,1,item.flux_horn:2;item.orbit_silk:2,2,1,,1
recipe.flux_core,facility.prep_bench,item.flux_core,1,item.flux_horn:2,2,1,,1
recipe.star_chip,facility.prep_bench,item.star_chip,1,item.star_crystal:2,2,1,,1
recipe.phase_dust,facility.prep_bench,item.phase_dust,1,item.phase_shard:2,2,1,,1
recipe.orbit_cloth,facility.prep_bench,item.orbit_cloth,1,item.orbit_silk:3,2,1,,1
recipe.heat_sac_sort,facility.sac_sorter,,0,item.heat_sac:1,1.5,1,,1
recipe.bio_wire,facility.symbio_vat,item.bio_wire,1,item.flux_wire:3;item.sac_skin:1,4,1,,2
recipe.flux_coil,facility.symbio_vat,item.flux_coil,1,item.bio_wire:2;item.flux_core:1,4,1,,2
recipe.star_circuit,facility.symbio_vat,item.star_circuit,1,item.star_chip:2;item.bio_wire:2,4,1,,2
recipe.phase_weave,facility.symbio_vat,item.phase_weave,1,item.phase_dust:2;item.orbit_cloth:2;item.heat_filament:1,4,1,,2
recipe.charge_cell,facility.symbio_vat,item.charge_cell,1,item.flux_wire:4;item.star_chip:1;item.core_seed:1,4,1,,2
recipe.frame_beam,facility.symbio_vat,item.frame_beam,1,item.scale_plate:4;item.orbit_cloth:1,4,1,,2
recipe.nav_core,facility.phase_mill,item.nav_core,1,item.star_circuit:3;item.flux_coil:2;item.phase_weave:1,6,1,,3
recipe.phase_ring,facility.phase_mill,item.phase_ring,1,item.frame_beam:3;item.phase_weave:4;item.flux_coil:2,6,1,,3
recipe.exciter,facility.phase_mill,item.exciter,1,item.charge_cell:4;item.star_circuit:2;item.sac_skin:5,6,1,,3
recipe.boundary_unit,facility.phase_mill,item.boundary_unit,1,item.phase_weave:3;item.star_circuit:4;item.flux_coil:3,6,1,,3
recipe.mount_frame,facility.phase_mill,item.mount_frame,1,item.frame_beam:4;item.scale_plate:6,6,1,,3
recipe.starjump_drive,facility.jump_rig,item.starjump_drive,1,item.nav_core:1;item.phase_ring:2;item.exciter:1;item.boundary_unit:1;item.mount_frame:1,10,1,,4
