type,speaker,text,slot,sprite_key,mode,audio_key
bg,,,,bg_room_day,,
bgm,,,,,,bgm_dialogue_calm
stand,,,L,char_hero_neutral,lean_in,
stand,,,R,char_partner_smile,lean_in,
line,ヒーロー,"おはよう、今日もよろしく。",,,,
line,パートナー,"こっちこそ。……あれ、窓の外、なにかいる？",,,,
se,,,,,,se_rustle
line,,（窓の向こうで何かが動いた気がする。）,,,,
stand,,,R,,hide,
stand,,,R,char_partner_serious,instant,
line,パートナー,"気のせいじゃないわ。行こう。",,,,
bg,,,,bg_corridor,,
stand,,,L,char_hero_neutral,instant,
stand,,,R,char_partner_serious,instant,
line,ヒーロー,"了解。行こう。",,,,
bgm_stop,,,,,,
end,,,,,,
